"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Metabolism of fat-soluble vitamins",48,11,3,15,30.1818181818182,29,43.5,71,0.229166666666667
"Metabolism of folate and pterines",17,4,14,35,43,50,58,58,0.235294117647059
"Metabolism of ingested H2SeO4 and H2SeO3 into H2Se",4,1,14,14,14,14,14,14,0.25
"Metabolism of ingested MeSeO2H into MeSeH",1,1,14,14,14,14,14,14,1
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",8,2,64,68.5,73,73,77.5,82,0.25
"Metabolism of lipids",756,215,1,9,68.4232558139535,26,69,581,0.284391534391534
"Metabolism of nitric oxide: NOS3 activation and regulation",17,4,1,12.25,150,18,155.75,563,0.235294117647059
"Metabolism of non-coding RNA",54,22,3,15.25,81.4090909090909,41,56.75,383,0.407407407407407
"Metabolism of nucleotides",97,33,1,9,38.2727272727273,19,46,283,0.34020618556701
"Metabolism of polyamines",46,9,4,19,44.3333333333333,43,57,106,0.195652173913043
"Metabolism of porphyrins",27,7,13,21.5,28.7142857142857,28,32.5,52,0.259259259259259
"Metabolism of proteins",2138,615,1,11,66.4991869918699,24,69,829,0.287652011225444
"Metabolism of serotonin",2,0,NA,NA,NA,NA,NA,NA,0
"Metabolism of steroid hormones",36,10,1,6.75,95.6,18,83.25,415,0.277777777777778
"Metabolism of steroids",154,44,1,8.75,77.4545454545455,25.5,74.75,418,0.285714285714286
"Metabolism of vitamin K",3,2,3,6.75,10.5,10.5,14.25,18,0.666666666666667
"Metabolism of vitamins and cofactors",196,49,1,10,50.530612244898,29,49,296,0.25
"Metabolism of water-soluble vitamins and cofactors",125,32,1,13,56.5,32,49.75,296,0.256
"Metal ion SLC transporters",44,10,1,14.5,44.9,43,63,138,0.227272727272727
"Metal ion assimilation from the host",3,0,NA,NA,NA,NA,NA,NA,0
"Metal sequestration by antimicrobial proteins",6,0,NA,NA,NA,NA,NA,NA,0
"Metalloprotease DUBs",37,10,1,14.25,31.4,18.5,48.25,91,0.27027027027027
"Metallothioneins bind metals",11,2,12,32.75,53.5,53.5,74.25,95,0.181818181818182
"Methionine salvage pathway",6,2,18,246.5,475,475,703.5,932,0.333333333333333
"Methylation",14,8,1,18.75,74.375,57.5,71.5,296,0.571428571428571
"Methylation of MeSeH for excretion",1,0,NA,NA,NA,NA,NA,NA,0
"MicroRNA (miRNA) biogenesis",25,12,1,22.5,122.166666666667,73,209,371,0.48
"Microbial factors inhibit CASP4 activity",8,0,NA,NA,NA,NA,NA,NA,0
"Microbial modulation of RIPK1-mediated regulated necrosis",4,2,5,10.5,16,16,21.5,27,0.5
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",20,6,6,24.25,89.1666666666667,32.5,81.25,345,0.3
"Mineralocorticoid biosynthesis",6,0,NA,NA,NA,NA,NA,NA,0
"Minus-strand DNA synthesis",1,1,23,23,23,23,23,23,1
"Miro GTPase Cycle",8,4,1,1.75,6,4.5,8.75,14,0.5
"Miscellaneous substrates",12,3,18,25,30.3333333333333,32,36.5,41,0.25
"Miscellaneous transport and binding events",29,8,8,14.5,127.25,69.5,161.5,445,0.275862068965517
"Mismatch Repair",15,7,2,9.5,27.4285714285714,12,49.5,60,0.466666666666667
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",14,6,2,8.75,30,28,51.75,60,0.428571428571429
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",14,6,2,8.75,24.5,11.5,43.5,60,0.428571428571429
"Mitochondrial ABC transporters",4,2,2,12.75,23.5,23.5,34.25,45,0.5
"Mitochondrial Fatty Acid Beta-Oxidation",37,11,3,6,54.0909090909091,24,79,181,0.297297297297297
"Mitochondrial RNA degradation",12,0,NA,NA,NA,NA,NA,NA,0
"Mitochondrial Uncoupling",7,1,8,8,8,8,8,8,0.142857142857143
"Mitochondrial biogenesis",96,37,4,15,70.8108108108108,45,82,271,0.385416666666667
"Mitochondrial calcium ion transport",23,8,4,39,58.625,52.5,74.75,123,0.347826086956522
"Mitochondrial iron-sulfur cluster biogenesis",13,5,4,9,33,9,40,103,0.384615384615385
"Mitochondrial mRNA modification",11,3,1,4,5.66666666666667,7,8,9,0.272727272727273
"Mitochondrial protein degradation",98,31,1,15,82.9677419354839,36,149,336,0.316326530612245
"Mitochondrial protein import",65,13,1,12,70.3076923076923,19,70,384,0.2
"Mitochondrial ribosome-associated quality control",92,18,5,14.5,41.3888888888889,24.5,45.5,170,0.195652173913043
"Mitochondrial short-chain enoyl-CoA hydratase deficiency 1",1,0,NA,NA,NA,NA,NA,NA,0
"Mitochondrial tRNA aminoacylation",21,6,7,10.75,38,21,61.25,97,0.285714285714286
"Mitochondrial transcription initiation",3,2,7,15.25,23.5,23.5,31.75,40,0.666666666666667
"Mitochondrial transcription termination",1,1,15,15,15,15,15,15,1
"Mitochondrial translation",115,24,2,15.5,77.5416666666667,29,80.5,468,0.208695652173913
"Mitochondrial translation elongation",90,16,2,14,41.3125,24.5,44.5,170,0.177777777777778
"Mitochondrial translation initiation",90,16,5,15.5,42.5625,24.5,44.5,170,0.177777777777778
"Mitochondrial translation termination",104,19,5,19.5,92.1578947368421,42,148.5,468,0.182692307692308
"Mitochondrial unfolded protein response (UPRmt)",18,7,3,22.5,51.8571428571429,32,63.5,156,0.388888888888889
"Mitophagy",39,15,1,14,34.6,17,44.5,159,0.384615384615385
"Mitotic Anaphase",222,64,1,11.5,55.125,29.5,55,383,0.288288288288288
"Mitotic G1 phase and G1/S transition",139,45,1,7,74.3111111111111,22,66,802,0.323741007194245
"Mitotic G2-G2/M phases",193,48,3,15,72.6875,34,73,802,0.248704663212435
"Mitotic Metaphase and Anaphase",223,64,1,11.5,55.125,29.5,55,383,0.286995515695067
"Mitotic Metaphase/Anaphase Transition",2,1,39,39,39,39,39,39,0.5
"Mitotic Prometaphase",204,59,1,14,62.2033898305085,34,80.5,383,0.28921568627451
"Mitotic Prophase",142,53,2,11,73.3018867924528,43,86,383,0.373239436619718
"Mitotic Spindle Checkpoint",111,37,1,8,53.0540540540541,28,47,383,0.333333333333333
"Mitotic Telophase/Cytokinesis",13,5,1,39,102,55,108,307,0.384615384615385
"Modulation by Mtb of host immune system",7,3,15,18.5,34,22,43.5,65,0.428571428571429
"Modulation of host responses by IFN-stimulated genes",19,4,3,4.5,61.75,20.5,77.75,203,0.210526315789474
"Molecules associated with elastic fibres",37,9,1,3,7.22222222222222,7,10,15,0.243243243243243
"Molybdenum cofactor biosynthesis",6,1,40,40,40,40,40,40,0.166666666666667
"Mtb iron assimilation by chelation",1,0,NA,NA,NA,NA,NA,NA,0
"Mucopolysaccharidoses",11,3,4,9.5,18.3333333333333,15,25.5,36,0.272727272727273
"Muscarinic acetylcholine receptors",5,1,19,19,19,19,19,19,0.2
"Muscle contraction",203,51,1,8.5,55,29,69,303,0.251231527093596
"MyD88 cascade initiated on plasma membrane",96,38,2,7,56.5789473684211,20.5,49,425,0.395833333333333
"MyD88 deficiency (TLR2/4)",17,5,7,13,24,16,35,49,0.294117647058824
"MyD88 deficiency (TLR5)",2,1,19,19,19,19,19,19,0.5
"MyD88 dependent cascade initiated on endosome",102,38,2,7,57.3684210526316,24,50.5,425,0.372549019607843
"MyD88-independent TLR4 cascade ",109,43,2,7,53.2093023255814,20,50,425,0.394495412844037
"MyD88:MAL(TIRAP) cascade initiated on plasma membrane",112,42,2,7,53.7380952380952,19.5,47.5,425,0.375
"Myoclonic epilepsy of Lafora",9,5,14,15,28,22,24,65,0.555555555555556
"Myogenesis",29,11,2,6,61.8181818181818,17,64,385,0.379310344827586
"N-Glycan antennae elongation",15,5,8,26,223.8,49,207,829,0.333333333333333
"N-glycan antennae elongation in the medial/trans-Golgi",26,5,8,26,223.8,49,207,829,0.192307692307692
"N-glycan trimming and elongation in the cis-Golgi",5,3,4,12,43.3333333333333,20,63,106,0.6
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",35,15,3,8.5,83.4,14,47.5,696,0.428571428571429
"NADE modulates death signalling",6,3,21,30,36.6666666666667,39,44.5,50,0.5
"NADPH regeneration",2,1,175,175,175,175,175,175,0.5
"NCAM signaling for neurite out-growth",63,18,2,6,53.2222222222222,14.5,59.5,340,0.285714285714286
"NCAM1 interactions",42,10,4,9.5,41.9,19,59.5,176,0.238095238095238
"NEIL3-mediated resolution of ICLs",1,0,NA,NA,NA,NA,NA,NA,0
"NEP/NS2 Interacts with the Cellular Export Machinery",32,16,3,13.75,100.375,48.5,169,383,0.5
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",13,7,3,5,43.7142857142857,27,31.5,203,0.538461538461538
"NF-kB is activated and signals survival",13,5,15,22,94.2,64,65,305,0.384615384615385
"NFE2L2 regulates pentose phosphate pathway genes",8,3,14,35.5,78.3333333333333,57,110.5,164,0.375
"NFE2L2 regulating ER-stress associated genes",5,3,8,11,62,14,89,164,0.6
"NFE2L2 regulating MDR associated enzymes",8,6,8,17.5,49,30,44,164,0.75
"NFE2L2 regulating TCA cycle genes",3,0,NA,NA,NA,NA,NA,NA,0
"NFE2L2 regulating anti-oxidant/detoxification enzymes",20,5,8,14,48.4,14,42,164,0.25
"NFE2L2 regulating inflammation associated genes",5,3,8,11,62,14,89,164,0.6
"NFE2L2 regulating tumorigenic genes",11,5,8,14,74.8,40,148,164,0.454545454545455
"NFG and proNGF binds to p75NTR",2,0,NA,NA,NA,NA,NA,NA,0
"NGF processing",4,0,NA,NA,NA,NA,NA,NA,0
"NGF-independant TRKA activation",5,0,NA,NA,NA,NA,NA,NA,0
"NGF-stimulated transcription",39,9,5,14,78,25,74,420,0.230769230769231
"NIK-->noncanonical NF-kB signaling",46,14,3,11,28.7142857142857,20,52,69,0.304347826086957
"NOD1/2 Signaling Pathway",36,13,2,7,43.0769230769231,11,50,305,0.361111111111111
"NOSIP mediated eNOS trafficking",2,0,NA,NA,NA,NA,NA,NA,0
"NOSTRIN mediated eNOS trafficking",5,1,1,1,1,1,1,1,0.2
"NOTCH1 Intracellular Domain Regulates Transcription",48,19,1,10.5,54.0526315789474,17,51.5,396,0.395833333333333
"NOTCH2 Activation and Transmission of Signal to the Nucleus",25,6,15,16.75,36.6666666666667,26,56.25,73,0.24
"NOTCH2 intracellular domain regulates transcription",12,5,1,9,87.4,14,17,396,0.416666666666667
"NOTCH3 Activation and Transmission of Signal to the Nucleus",25,8,15,20.25,49.25,35,67,134,0.32
"NOTCH3 Intracellular Domain Regulates Transcription",25,10,3,12.5,79.3,21,99.25,396,0.4
"NOTCH4 Activation and Transmission of Signal to the Nucleus",11,2,15,18.75,22.5,22.5,26.25,30,0.181818181818182
"NOTCH4 Intracellular Domain Regulates Transcription",20,7,9,15.5,106.714285714286,25,143,396,0.35
"NPAS4 regulates expression of target genes",22,7,2,4,36.4285714285714,18,31.5,164,0.318181818181818
"NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ",5,2,22,43.5,65,65,86.5,108,0.4
"NR1H2 & NR1H3 regulate gene expression linked to lipogenesis",9,3,7,12.5,15.6666666666667,18,20,22,0.333333333333333
"NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose",5,2,18,19,20,20,21,22,0.4
"NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis",9,4,5,8,13.5,13.5,19,22,0.444444444444444
"NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ",5,3,18,20,142.666666666667,22,205,388,0.6
"NR1H2 and NR1H3-mediated signaling",47,17,1,9,84.1764705882353,38,98,388,0.361702127659574
"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",37,14,1,10.25,66.2857142857143,30,62.25,371,0.378378378378378
"NRAGE signals death through JNK",59,22,1,8.25,79.9090909090909,23.5,89.5,486,0.372881355932203
"NRIF signals cell death from the nucleus",16,6,15,16.75,75.3333333333333,26,56.25,305,0.375
"NS1 Mediated Effects on Host Pathways",41,19,3,16.5,90.5789473684211,44,108.5,383,0.463414634146341
"NTF3 activates NTRK2 (TRKB) signaling",2,0,NA,NA,NA,NA,NA,NA,0
"NTF3 activates NTRK3 signaling",2,0,NA,NA,NA,NA,NA,NA,0
"NTF4 activates NTRK2 (TRKB) signaling",2,0,NA,NA,NA,NA,NA,NA,0
"NTRK2 activates RAC1",5,3,9,13,14.6666666666667,17,17.5,18,0.6
"NTRK3 as a dependence receptor",3,1,22,22,22,22,22,22,0.333333333333333
"NVP-TAE684-resistant ALK mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Nectin/Necl  trans heterodimerization",7,2,44,98.25,152.5,152.5,206.75,261,0.285714285714286
"Neddylation",232,77,1,13,72.038961038961,28,67,386,0.331896551724138
"Nef Mediated CD4 Down-regulation",9,2,2,39,76,76,113,150,0.222222222222222
"Nef Mediated CD8 Down-regulation",7,2,2,39,76,76,113,150,0.285714285714286
"Nef and signal transduction",8,3,9,13,22.6666666666667,17,29.5,42,0.375
"Nef mediated downregulation of CD28 cell surface expression",2,1,23,23,23,23,23,23,0.5
"Nef mediated downregulation of MHC class I complex cell surface expression",10,3,3,12.5,68.3333333333333,22,101,180,0.3
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",21,6,2,7.75,63.3333333333333,22.5,118.25,180,0.285714285714286
"Negative Regulation of CDH1 Gene Transcription",94,31,2,10,62.0967741935484,56,86.5,385,0.329787234042553
"Negative epigenetic regulation of rRNA expression",108,39,1,10,54.8205128205128,23,80.5,309,0.361111111111111
"Negative feedback regulation of MAPK pathway",6,2,2,9.25,16.5,16.5,23.75,31,0.333333333333333
"Negative regulation of FGFR1 signaling",33,10,2,12.75,49.6,19.5,50.75,262,0.303030303030303
"Negative regulation of FGFR2 signaling",34,11,2,11,45.3636363636364,17,45.5,262,0.323529411764706
"Negative regulation of FGFR3 signaling",29,11,2,13.5,49.3636363636364,22,51.5,262,0.379310344827586
"Negative regulation of FGFR4 signaling",31,9,2,15,54,22,56,262,0.290322580645161
"Negative regulation of FLT3",15,10,5,11.25,22.9,19.5,27.25,65,0.666666666666667
"Negative regulation of MAPK pathway",43,15,2,8.5,37.3333333333333,17,35,262,0.348837209302326
"Negative regulation of MET activity",21,12,10,18,95.9166666666667,31.5,107,416,0.571428571428571
"Negative regulation of NMDA receptor-mediated neuronal transmission",21,7,1,18,26.7142857142857,34,35.5,45,0.333333333333333
"Negative regulation of NOTCH4 signaling",44,11,4,17,36.4545454545455,38,56,69,0.25
"Negative regulation of TCF-dependent signaling by DVL-interacting proteins",5,2,20,24.5,29,29,33.5,38,0.4
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",15,2,57,127.25,197.5,197.5,267.75,338,0.133333333333333
"Negative regulation of activity of TFAP2 (AP-2) family transcription factors",10,2,1,70,139,139,208,277,0.2
"Negative regulation of the PI3K/AKT network",121,41,1,9,62.1463414634146,22,47,686,0.338842975206612
"Negative regulators of DDX58/IFIH1 signaling",35,15,3,10.5,71.4,20,48.5,554,0.428571428571429
"Nephrin family interactions",23,6,2,5.25,20.5,14.5,29.75,55,0.260869565217391
"Nephron development",13,2,87,95,103,103,111,119,0.153846153846154
"Nervous system development",562,176,1,12,58.4545454545455,29,57,486,0.313167259786477
"Netrin mediated repulsion signals",8,5,12,17,28.6,25,33,56,0.625
"Netrin-1 signaling",44,17,2,17,84.8235294117647,32,56,486,0.386363636363636
"Neurexins and neuroligins",56,16,1,15.75,50.125,33,47.5,211,0.285714285714286
"Neurodegenerative Diseases",22,8,3,6.5,21,11.5,18.75,85,0.363636363636364
"Neurofascin interactions",7,1,1,1,1,1,1,1,0.142857142857143
"Neuronal System",411,112,1,10,71.4107142857143,27.5,58.5,744,0.272506082725061
"Neurophilin interactions with VEGF and VEGFR",4,1,143,143,143,143,143,143,0.25
"Neurotoxicity of clostridium toxins",10,7,15,43,88.8571428571429,78,129,185,0.7
"Neurotransmitter clearance",11,3,2,3.5,6.33333333333333,5,8.5,12,0.272727272727273
"Neurotransmitter receptors and postsynaptic signal transmission",205,57,1,10,56.5087719298246,22,36,597,0.278048780487805
"Neurotransmitter release cycle",51,13,2,10,105.461538461538,55,109,381,0.254901960784314
"Neurotransmitter uptake and metabolism In glial cells",4,3,27,68,172.333333333333,109,245,381,0.75
"Neutrophil degranulation",478,135,1,8,61.8666666666667,17,54,829,0.282426778242678
"Nicotinate metabolism",29,8,5,16.25,69,40,95.25,223,0.275862068965517
"Nilotinib-resistant KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Nitric oxide stimulates guanylate cyclase",22,5,6,19,23.2,20,28,43,0.227272727272727
"NoRC negatively regulates rRNA expression",105,39,1,10,54.8205128205128,23,80.5,309,0.371428571428571
"Non-canonical inflammasome activation",14,2,13,15,17,17,19,21,0.142857142857143
"Non-integrin membrane-ECM interactions",80,21,2,9,31.1904761904762,24,39,176,0.2625
"Noncanonical activation of NOTCH3",8,2,15,18.75,22.5,22.5,26.25,30,0.25
"Nonhomologous End-Joining (NHEJ)",68,29,2,10,63.6206896551724,14,82,608,0.426470588235294
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",116,35,1,17,48.0857142857143,30,42.5,262,0.301724137931034
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",96,26,2,18.25,47.1153846153846,31.5,42.75,256,0.270833333333333
"Nonsense-Mediated Decay (NMD)",116,35,1,17,48.0857142857143,30,42.5,262,0.301724137931034
"Norepinephrine Neurotransmitter Release Cycle",18,4,4,4.75,46.25,41.5,83,98,0.222222222222222
"Notch-HLH transcription pathway",28,11,2,7.5,71.9090909090909,17,76,396,0.392857142857143
"NrCAM interactions",7,4,1,26.5,37,40,50.5,67,0.571428571428571
"Nuclear Envelope (NE) Reassembly",76,23,3,16.5,90.3913043478261,34,126.5,383,0.302631578947368
"Nuclear Envelope Breakdown",53,18,3,19.25,107.555555555556,48.5,195,383,0.339622641509434
"Nuclear Events (kinase and transcription factor activation)",61,20,2,7.75,74.55,25.5,59,420,0.327868852459016
"Nuclear Pore Complex (NPC) Disassembly",36,16,3,13.75,100.375,48.5,169,383,0.444444444444444
"Nuclear RNA decay",35,14,5,10.75,97.3571428571429,21,89.25,536,0.4
"Nuclear Receptor transcription pathway",53,18,5,11.75,39.7222222222222,18.5,39.25,240,0.339622641509434
"Nuclear events mediated by NFE2L2",87,24,4,14.75,49.5,41,58.75,164,0.275862068965517
"Nuclear events stimulated by ALK signaling in cancer",35,10,1,22.25,194.2,68,179,1073,0.285714285714286
"Nuclear import of Rev protein",34,17,3,14,96.5294117647059,44,156,383,0.5
"Nuclear signaling by ERBB4",32,10,1,5.5,27.7,17,28.25,124,0.3125
"Nucleosome assembly",72,29,2,10,42.7586206896552,21,79,159,0.402777777777778
"Nucleotide Excision Repair",108,33,1,10,34,15,31,309,0.305555555555556
"Nucleotide biosynthesis",14,7,2,7,18.4285714285714,11,30,42,0.5
"Nucleotide catabolism",35,10,1,12.25,66.6,39,92,283,0.285714285714286
"Nucleotide catabolism defects",1,0,NA,NA,NA,NA,NA,NA,0
"Nucleotide salvage",23,6,1,9.5,28,16,39.75,80,0.260869565217391
"Nucleotide salvage defects",3,0,NA,NA,NA,NA,NA,NA,0
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",56,18,2,7.5,46,12,53,305,0.321428571428571
"Nucleotide-like (purinergic) receptors",16,3,17,33.5,45.3333333333333,50,59.5,69,0.1875
"O-glycosylation of TSR domain-containing proteins",39,12,1,10.75,31.75,23.5,60.75,74,0.307692307692308
"O-linked glycosylation",124,34,1,9.75,31.8235294117647,21,57.25,113,0.274193548387097
"O-linked glycosylation of mucins",62,15,2,9,32.0666666666667,21,48,113,0.241935483870968
"O2/CO2 exchange in erythrocytes",13,3,33,37.5,118.333333333333,42,161,280,0.230769230769231
"OADH complex synthesizes glutaryl-CoA from 2-OA",3,1,15,15,15,15,15,15,0.333333333333333
"OAS antiviral response",9,5,1,2,62.6,46,61,203,0.555555555555556
"OGDH complex synthesizes succinyl-CoA from 2-OG",4,2,15,17.25,19.5,19.5,21.75,24,0.5
"Oleoyl-phe metabolism",1,0,NA,NA,NA,NA,NA,NA,0
"Olfactory Signaling Pathway",418,8,4,13.5,93.5,28,114.75,365,0.0191387559808612
"Oligomerization of connexins into connexons",3,1,6,6,6,6,6,6,0.333333333333333
"Oncogene Induced Senescence",35,17,2,8,123.588235294118,38,148,802,0.485714285714286
"Oncogenic MAPK signaling",82,30,1,9,65.0333333333333,19,79,536,0.365853658536585
"Opioid Signalling",90,29,1,6,46.4137931034483,17,28,365,0.322222222222222
"Opsins",9,0,NA,NA,NA,NA,NA,NA,0
"Orc1 removal from chromatin",58,14,1,14.25,57.5714285714286,32.5,56.5,386,0.241379310344828
"Orexin and neuropeptides FF and QRFP bind to their respective receptors",8,1,31,31,31,31,31,31,0.125
"Organelle biogenesis and maintenance",297,96,1,15,70.5,34.5,98.5,418,0.323232323232323
"Organic anion transport by SLC22 transporters",5,3,10,90.5,142.666666666667,171,209,247,0.6
"Organic anion transport by SLC5/17/25 transporters",6,2,5,8.5,12,12,15.5,19,0.333333333333333
"Organic anion transport by SLCO transporters",11,3,2,2.5,5.33333333333333,3,7,11,0.272727272727273
"Other interleukin signaling",24,7,1,7,22.8571428571429,17,25,78,0.291666666666667
"Other semaphorin interactions",19,6,7,10.75,25.1666666666667,22,37.75,50,0.315789473684211
"Ovarian tumor domain proteases",39,14,3,12.75,123.071428571429,29.5,263,452,0.358974358974359
"Oxidative Stress Induced Senescence",125,52,2,10.75,79.0384615384615,45,84.25,802,0.416
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",53,16,4,14,26.25,20.5,32.5,65,0.30188679245283
"P2Y receptors",12,1,50,50,50,50,50,50,0.0833333333333333
"PAOs oxidise polyamines to amines",2,0,NA,NA,NA,NA,NA,NA,0
"PCNA-Dependent Long Patch Base Excision Repair",21,8,2,7.75,21.125,11.5,24.75,60,0.380952380952381
"PCP/CE pathway",79,22,1,6.75,42.1818181818182,20,56.5,173,0.278481012658228
"PD-L1(CD274) glycosylation and translocation to plasma membrane",21,6,15,24,80.1666666666667,47.5,119,212,0.285714285714286
"PDE3B signalling",2,0,NA,NA,NA,NA,NA,NA,0
"PDGFR mutants bind TKIs",1,1,70,70,70,70,70,70,1
"PDH complex synthesizes acetyl-CoA from PYR",6,3,1,8,11.3333333333333,15,16.5,18,0.5
"PECAM1 interactions",12,5,7,16,80.4,17,56,306,0.416666666666667
"PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",91,22,2,19,51,32.5,51.75,256,0.241758241758242
"PERK regulates gene expression",32,6,18,86.75,203.666666666667,152,309.5,473,0.1875
"PI Metabolism",84,27,1,5.5,56.5925925925926,17,38.5,511,0.321428571428571
"PI and PC transport between ER and Golgi membranes",1,0,NA,NA,NA,NA,NA,NA,0
"PI-3K cascade:FGFR1",21,3,10,16,29.3333333333333,22,39,56,0.142857142857143
"PI-3K cascade:FGFR2",23,4,3,8.25,22.75,16,30.5,56,0.173913043478261
"PI-3K cascade:FGFR3",18,4,10,19,33.75,34.5,49.25,56,0.222222222222222
"PI-3K cascade:FGFR4",20,2,22,30.5,39,39,47.5,56,0.1
"PI3K Cascade",44,11,3,6,21.5454545454545,10,34.5,57,0.25
"PI3K events in ERBB2 signaling",16,6,15,19.75,42.1666666666667,22.5,35.75,134,0.375
"PI3K events in ERBB4 signaling",10,2,19,20,21,21,22,23,0.2
"PI3K/AKT Signaling in Cancer",113,36,3,8.75,46.4444444444444,18.5,37.75,722,0.31858407079646
"PI3K/AKT activation",9,2,3,3.5,4,4,4.5,5,0.222222222222222
"PI5P Regulates TP53 Acetylation",9,3,1,4,7.33333333333333,7,10.5,14,0.333333333333333
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",114,39,1,10,65.1794871794872,23,48,686,0.342105263157895
"PINK1-PRKN Mediated Mitophagy",32,13,1,14,33.2307692307692,17,42,159,0.40625
"PIP3 activates AKT signaling",263,88,1,9.75,65.1136363636364,22,55.25,722,0.334600760456274
"PIWI-interacting RNA (piRNA) biogenesis",29,10,1,15.5,51.3,21.5,22.75,309,0.344827586206897
"PKA activation",18,4,5,5.75,11.75,12,18,18,0.222222222222222
"PKA activation in glucagon signalling",17,5,5,6,19,18,18,48,0.294117647058824
"PKA-mediated phosphorylation of CREB",20,5,5,6,17,18,18,38,0.25
"PKA-mediated phosphorylation of key metabolic factors",5,0,NA,NA,NA,NA,NA,NA,0
"PKB-mediated events",2,0,NA,NA,NA,NA,NA,NA,0
"PKMTs methylate histone lysines",70,24,5,33.75,116.208333333333,61,104,608,0.342857142857143
"PKR-mediated signaling",76,22,2,15,76.6363636363636,26,72.25,353,0.289473684210526
"PLC beta mediated events",49,16,1,5.75,22.875,13.5,28,149,0.326530612244898
"PLC-gamma1 signalling",3,0,NA,NA,NA,NA,NA,NA,0
"PLCG1 events in ERBB2 signaling",4,2,40,63.5,87,87,110.5,134,0.5
"POLB-Dependent Long Patch Base Excision Repair",8,2,11,11.25,11.5,11.5,11.75,12,0.25
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",13,1,67,67,67,67,67,67,0.0769230769230769
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",10,1,2,2,2,2,2,2,0.1
"PP2A-mediated dephosphorylation of key metabolic factors",7,4,2,13.25,81,30,97.75,262,0.571428571428571
"PPARA activates gene expression",116,32,1,12.25,86.71875,34.5,130,581,0.275862068965517
"PRC2 methylates histones and DNA",72,29,4,11,63.5172413793103,34,82,488,0.402777777777778
"PTEN Loss of Function in Cancer",1,0,NA,NA,NA,NA,NA,NA,0
"PTEN Regulation",126,43,2,11.5,56.093023255814,22,57.5,498,0.341269841269841
"PTK6 Activates STAT3",4,1,118,118,118,118,118,118,0.25
"PTK6 Down-Regulation",3,0,NA,NA,NA,NA,NA,NA,0
"PTK6 Expression",5,0,NA,NA,NA,NA,NA,NA,0
"PTK6 Regulates Cell Cycle",6,0,NA,NA,NA,NA,NA,NA,0
"PTK6 Regulates Proteins Involved in RNA Processing",5,1,41,41,41,41,41,41,0.2
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",14,5,7,9,104.6,26,87,394,0.357142857142857
"PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1",9,4,15,20.25,34.25,28.5,42.5,65,0.444444444444444
"PTK6 promotes HIF1A stabilization",6,2,9,40.25,71.5,71.5,102.75,134,0.333333333333333
"Packaging Of Telomere Ends",51,21,4,10,53.6190476190476,13,82,183,0.411764705882353
"Paracetamol ADME",29,9,2,7,18.6666666666667,17,32,36,0.310344827586207
"Paradoxical activation of RAF signaling by kinase inactive BRAF",45,15,1,2.5,48.1333333333333,20,48,303,0.333333333333333
"Parasite infection",116,26,2,12.25,118.807692307692,43,235.5,420,0.224137931034483
"Parasitic Infection Pathways",218,54,2,10.25,71.9814814814815,20.5,61.5,420,0.247706422018349
"Passive transport by Aquaporins",13,3,34,61,94,88,124,160,0.230769230769231
"Pausing and recovery of HIV elongation",33,12,1,19.5,61.8333333333333,26,84,309,0.363636363636364
"Pausing and recovery of Tat-mediated HIV elongation",31,12,1,19.5,61.8333333333333,26,84,309,0.387096774193548
"Pentose phosphate pathway",15,6,1,29,58.8333333333333,43,83.25,145,0.4
"Pentose phosphate pathway disease",2,1,57,57,57,57,57,57,0.5
"Peptide chain elongation",90,24,2,16.5,56.8333333333333,32.5,56.75,256,0.266666666666667
"Peptide hormone biosynthesis",14,3,28,58.5,144.333333333333,89,202.5,316,0.214285714285714
"Peptide hormone metabolism",88,15,9,18.5,70.6,28,84.5,316,0.170454545454545
"Peptide ligand-binding receptors",199,33,2,8,32.030303030303,13,31,192,0.165829145728643
