"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Biosynthesis of aspirin-triggered D-series resolvins",3,1,80,80,80,80,80,80,0.333333333333333
"Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of maresin conjugates in tissue regeneration (MCTR)",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of maresin-like SPMs",6,1,68,68,68,68,68,68,0.166666666666667
"Biosynthesis of maresins",8,1,68,68,68,68,68,68,0.125
"Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)",1,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of protectins",4,1,68,68,68,68,68,68,0.25
"Biosynthesis of specialized proresolving mediators (SPMs)",19,2,68,71,74,74,77,80,0.105263157894737
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",80,18,2,6.25,36.3333333333333,13.5,30,221,0.225
"Biotin transport and metabolism",11,4,15,26.25,32.5,34,40.25,47,0.363636363636364
"Blockage of phagosome acidification",1,0,NA,NA,NA,NA,NA,NA,0
"Blood group systems biosynthesis",19,4,2,2.75,10,4.5,11.75,29,0.210526315789474
"Branched-chain amino acid catabolism",21,6,1,2.75,28.5,11.5,26.25,116,0.285714285714286
"Branched-chain ketoacid dehydrogenase kinase deficiency",5,3,1,4.5,8,8,11.5,15,0.6
"Breakdown of the nuclear lamina",3,0,NA,NA,NA,NA,NA,NA,0
"Budding and maturation of HIV virion",28,11,4,18,52.9090909090909,23,59,243,0.392857142857143
"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",17,4,9,15.75,136.75,89.5,210.5,359,0.235294117647059
"Butyrophilin (BTN) family interactions",12,7,11,24,120.285714285714,165,192.5,233,0.583333333333333
"C-type lectin receptors (CLRs)",127,40,2,9.25,52.025,21,64.25,340,0.31496062992126
"C6 deamination of adenosine",2,1,293,293,293,293,293,293,0.5
"CASP4 inflammasome assembly",9,1,13,13,13,13,13,13,0.111111111111111
"CASP4-mediated substrate cleavage",5,1,21,21,21,21,21,21,0.2
"CASP5 inflammasome assembly",1,0,NA,NA,NA,NA,NA,NA,0
"CASP5-mediated substrate cleavage",5,1,21,21,21,21,21,21,0.2
"CASP8 activity is inhibited",11,8,5,11.5,18.125,20,25.25,27,0.727272727272727
"CD163 mediating an anti-inflammatory response",9,3,11,15.5,28.3333333333333,20,37,54,0.333333333333333
"CD209 (DC-SIGN) signaling",21,9,11,17,77.6666666666667,26,64,340,0.428571428571429
"CD22 mediated BCR regulation",61,0,NA,NA,NA,NA,NA,NA,0
"CD28 dependent PI3K/Akt signaling",27,11,3,5.5,87.7272727272727,21,31,722,0.407407407407407
"CD28 dependent Vav1 pathway",12,8,4,8.75,21,19,27.75,44,0.666666666666667
"CDC42 GTPase cycle",155,54,1,8.25,56.3518518518519,20,51.5,486,0.348387096774194
