"pathway","geneSize"
"Iron uptake and transport",58
"IRS activation",5
"IRS-mediated signalling",48
"IRS-related events triggered by IGF1R",52
"ISG15 antiviral mechanism",74
"Isovaleric acidemia",1
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",22
"Josephin domain DUBs",12
"KEAP1-NFE2L2 pathway",113
"Keratan sulfate biosynthesis",29
"Keratan sulfate degradation",15
"Keratan sulfate/keratin metabolism",37
"Keratinization",217
"Ketone body metabolism",10
"Kidney development",46
"Killing mechanisms",12
"Kinesins",61
"KIT mutants bind TKIs",1
"KSRP (KHSRP) binds and destabilizes mRNA",17
"KW2449-resistant FLT3 mutants",1
"L13a-mediated translational silencing of Ceruloplasmin expression",112
"L1CAM interactions",121
"Lactose synthesis",3
"Lagging Strand Synthesis",20
"Laminin interactions",30
"Late endosomal microautophagy",34
"Late Phase of HIV Life Cycle",136
"Late SARS-CoV-2 Infection Events",74
"Latent infection - Other responses of Mtb to phagocytosis",1
"LDL clearance",19
"LDL remodeling",6
"Leading Strand Synthesis",14
"Lectin pathway of complement activation",8
"Leishmania infection",218
"Leishmania parasite growth and survival",133
"Leishmania phagocytosis",116
"lestaurtinib-resistant FLT3 mutants",1
"Leukotriene receptors",5
"Lewis blood group biosynthesis",16
"LGI-ADAM interactions",14
"LGK974 inhibits PORCN",1
"Ligand-receptor interactions",8
"linifanib-resistant FLT3 mutants",1
"Linoleic acid (LA) metabolism",8
"Lipid particle organization",6
"Lipophagy",9
"Listeria monocytogenes entry into host cells",20
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",4
"Long-term potentiation",23
"lorlatinib-resistant ALK mutants",1
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling",5
"Loss of Function of KMT2D in Kabuki Syndrome",5
"Loss of Function of KMT2D in MLL4 Complex Formation in Kabuki Syndrome",5
"Loss of function of MECP2 in Rett syndrome",13
"Loss of Function of SMAD2/3 in Cancer",7
"Loss of Function of SMAD4 in Cancer",3
"Loss of Function of TGFBR1 in Cancer",7
"Loss of Function of TGFBR2 in Cancer",3
"Loss of Function of TP53 in Cancer",1
"Loss of function of TP53 in cancer due to loss of tetramerization ability",1
"Loss of MECP2 binding ability to 5hmC-DNA",1
"Loss of MECP2 binding ability to 5mC-DNA",4
"Loss of MECP2 binding ability to the NCoR/SMRT complex",7
"Loss of Nlp from mitotic centrosomes",69
"Loss of phosphorylation of MECP2 at T308",4
"Loss of proteins required for interphase microtubule organization from the centrosome",69
"Loss-of-function mutations in BCKDHA or BCKDHB cause MSUD",3
"Loss-of-function mutations in DBT cause MSUD2",4
"Loss-of-function mutations in DLD cause MSUD3/DLDD",4
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production",5
"LTC4-CYSLTR mediated IL4 production",6
"Lysine catabolism",12
"Lysosomal oligosaccharide catabolism",4
"Lysosome Vesicle Biogenesis",35
"Lysosphingolipid and LPA receptors",14
"M Phase",404
"M-decay: degradation of maternal mRNAs by maternally stored factors",33
"Macroautophagy",144
"Major pathway of rRNA processing in the nucleolus and cytosol",183
"Malate-aspartate shuttle",9
"Manipulation of host energy metabolism",2
"MAP kinase activation",63
"MAP2K and MAPK activation",40
"MAP3K8 (TPL2)-dependent MAPK1/3 activation",16
"MAPK family signaling cascades",314
"MAPK targets/ Nuclear events mediated by MAP kinases",31
"MAPK1 (ERK2) activation",9
"MAPK1/MAPK3 signaling",271
"MAPK3 (ERK1) activation",10
"MAPK6/MAPK4 signaling",80
"Maple Syrup Urine Disease",5
"Masitinib-resistant KIT mutants",1
"MASTL Facilitates Mitotic Progression",10
"Maternal to zygotic transition (MZT)",128
"Matriglycan biosynthesis on DAG1",12
"Maturation of hRSV A proteins",14
"Maturation of nucleoprotein",15
"Maturation of protein 3a",9
"Maturation of protein E",4
"Maturation of replicase proteins",1
"Maturation of spike protein",41
"Maturation of TCA enzymes and regulation of TCA cycle",20
"MDK and PTN in ALK signaling",4
"Mechanical load activates signaling by PIEZO1 and integrins in osteocytes",17
"MECP2 regulates neuronal receptors and channels",18
"MECP2 regulates transcription factors",5
"MECP2 regulates transcription of genes involved in GABA signaling",3
"MECP2 regulates transcription of neuronal ligands",8
"Meiosis",120
"Meiotic recombination",88
"Meiotic synapsis",78
"Melanin biosynthesis",5
"Membrane binding and targetting of GAG proteins",14
"Membrane Trafficking",630
"MET activates PI3K/AKT signaling",6
"MET activates PTK2 signaling",30
"MET activates PTPN11",5
"MET activates RAP1 and RAC1",11
"MET activates RAS signaling",11
"MET activates STAT3",3
"MET interacts with TNS proteins",5
"MET promotes cell motility",41
"MET Receptor Activation",6
"MET receptor recycling",10
"Metabolic disorders of biological oxidation enzymes",34
"Metabolism",2184
"Metabolism of amine-derived hormones",22
"Metabolism of amino acids and derivatives",356
"Metabolism of Angiotensinogen to Angiotensins",17
"Metabolism of carbohydrates and carbohydrate derivatives",297
"Metabolism of cofactors",25
"Metabolism of fat-soluble vitamins",48
"Metabolism of folate and pterines",17
"Metabolism of ingested H2SeO4 and H2SeO3 into H2Se",4
"Metabolism of ingested MeSeO2H into MeSeH",1
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",8
"Metabolism of lipids",756
"Metabolism of nitric oxide: NOS3 activation and regulation",17
"Metabolism of non-coding RNA",54
"Metabolism of nucleotides",97
"Metabolism of polyamines",46
"Metabolism of porphyrins",27
"Metabolism of proteins",2138
"Metabolism of RNA",737
"Metabolism of serotonin",2
"Metabolism of steroid hormones",36
"Metabolism of steroids",154
"Metabolism of vitamin K",3
"Metabolism of vitamins and cofactors",196
"Metabolism of water-soluble vitamins and cofactors",125
"Metal ion assimilation from the host",3
"Metal ion SLC transporters",44
"Metal sequestration by antimicrobial proteins",6
"Metalloprotease DUBs",37
"Metallothioneins bind metals",11
"Methionine salvage pathway",6
"Methylation",14
"Methylation of MeSeH for excretion",1
"MGMT-mediated DNA damage reversal",1
"MHC class II antigen presentation",126
"Microbial factors inhibit CASP4 activity",8
"Microbial modulation of RIPK1-mediated regulated necrosis",4
"MicroRNA (miRNA) biogenesis",25
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",20
"midostaurin-resistant FLT3 mutants",1
"Mineralocorticoid biosynthesis",6
"Minus-strand DNA synthesis",1
"Miro GTPase Cycle",8
"Miscellaneous substrates",12
"Miscellaneous transport and binding events",29
"Mismatch Repair",15
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",14
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",14
"MITF-M-dependent gene expression",110
"MITF-M-regulated melanocyte development",161
"Mitochondrial ABC transporters",4
"Mitochondrial biogenesis",96
"Mitochondrial calcium ion transport",23
"Mitochondrial Fatty Acid Beta-Oxidation",37
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",11
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids",6
"Mitochondrial iron-sulfur cluster biogenesis",13
"Mitochondrial mRNA modification",11
"Mitochondrial protein degradation",98
"Mitochondrial protein import",65
"Mitochondrial ribosome-associated quality control",92
"Mitochondrial RNA degradation",12
"Mitochondrial short-chain enoyl-CoA hydratase deficiency 1",1
"Mitochondrial transcription initiation",3
"Mitochondrial transcription termination",1
"Mitochondrial translation",115
"Mitochondrial translation elongation",90
"Mitochondrial translation initiation",90
"Mitochondrial translation termination",104
"Mitochondrial tRNA aminoacylation",21
"Mitochondrial Uncoupling",7
"Mitochondrial unfolded protein response (UPRmt)",18
"Mitophagy",39
"Mitotic Anaphase",222
"Mitotic G1 phase and G1/S transition",139
"Mitotic G2-G2/M phases",193
"Mitotic Metaphase and Anaphase",223
"Mitotic Metaphase/Anaphase Transition",2
"Mitotic Prometaphase",204
"Mitotic Prophase",142
"Mitotic Spindle Checkpoint",111
"Mitotic Telophase/Cytokinesis",13
"MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis",134
"Modulation by Mtb of host immune system",7
"Modulation of host responses by IFN-stimulated genes",19
"Molecules associated with elastic fibres",37
"Molybdenum cofactor biosynthesis",6
"MPS I - Hurler syndrome (CS/DS degradation)",1
"MPS I - Hurler syndrome (HS-GAG degradation)",1
"MPS II - Hunter syndrome (CS/DS degradation)",1
"MPS II - Hunter syndrome (HS-GAG degradation)",1
"MPS IIIA - Sanfilippo syndrome A",1
"MPS IIIB - Sanfilippo syndrome B",1
"MPS IIIC - Sanfilippo syndrome C",1
"MPS IIID - Sanfilippo syndrome D",1
"MPS IV - Morquio syndrome A",1
"MPS IV - Morquio syndrome B (CS/DS degradation)",1
"MPS IV - Morquio syndrome B (Keratin metabolism)",1
"MPS IX - Natowicz syndrome (CS/DS degradation)",1
"MPS IX - Natowicz syndrome (Hyaluronan metabolism)",1
"MPS VI - Maroteaux-Lamy syndrome",1
"MPS VII - Sly syndrome (CS/DS degradation)",1
"MPS VII - Sly syndrome (Hyaluronan metabolism)",1
"mRNA 3'-end processing",58
"mRNA Capping",29
"mRNA decay by 3' to 5' exoribonuclease",16
"mRNA decay by 5' to 3' exoribonuclease",15
"mRNA Editing",10
"mRNA Editing: A to I Conversion",2
"mRNA Editing: C to U Conversion",8
"mRNA Splicing",212
"mRNA Splicing - Major Pathway",204
"mRNA Splicing - Minor Pathway",50
"Mtb iron assimilation by chelation",1
"MTF1 activates gene expression",3
"MTOR signalling",41
"mTORC1-mediated signalling",24
"Mucopolysaccharidoses",11
"Muscarinic acetylcholine receptors",5
"Muscle contraction",203
"MyD88 cascade initiated on plasma membrane",96
"MyD88 deficiency (TLR2/4)",17
"MyD88 deficiency (TLR5)",2
"MyD88 dependent cascade initiated on endosome",102
"MyD88-independent TLR4 cascade ",109
"MyD88:MAL(TIRAP) cascade initiated on plasma membrane",112
"Myoclonic epilepsy of Lafora",9
"Myogenesis",29
"N-Glycan antennae elongation",15
"N-glycan antennae elongation in the medial/trans-Golgi",26
"N-glycan trimming and elongation in the cis-Golgi",5
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",35
"NADE modulates death signalling",6
"NADPH regeneration",2
"NCAM signaling for neurite out-growth",63
"NCAM1 interactions",42
"Nectin/Necl  trans heterodimerization",7
"Neddylation",232
"Nef and signal transduction",8
"Nef Mediated CD4 Down-regulation",9
"Nef Mediated CD8 Down-regulation",7
"Nef mediated downregulation of CD28 cell surface expression",2
"Nef mediated downregulation of MHC class I complex cell surface expression",10
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",21
"Negative epigenetic regulation of rRNA expression",108
"Negative feedback regulation of MAPK pathway",6
"Negative regulation of activity of TFAP2 (AP-2) family transcription factors",10
"Negative Regulation of CDH1 Gene Transcription",94
"Negative regulation of FGFR1 signaling",33
"Negative regulation of FGFR2 signaling",34
"Negative regulation of FGFR3 signaling",29
"Negative regulation of FGFR4 signaling",31
"Negative regulation of FLT3",15
"Negative regulation of MAPK pathway",43
"Negative regulation of MET activity",21
"Negative regulation of NMDA receptor-mediated neuronal transmission",21
"Negative regulation of NOTCH4 signaling",44
"Negative regulation of TCF-dependent signaling by DVL-interacting proteins",5
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",15
"Negative regulation of the PI3K/AKT network",121
"Negative regulators of DDX58/IFIH1 signaling",35
"NEIL3-mediated resolution of ICLs",1
"NEP/NS2 Interacts with the Cellular Export Machinery",32
"Nephrin family interactions",23
"Nephron development",13
"Nervous system development",562
"Netrin mediated repulsion signals",8
"Netrin-1 signaling",44
"Neurexins and neuroligins",56
"Neurodegenerative Diseases",22
"Neurofascin interactions",7
"Neuronal System",411
"Neurophilin interactions with VEGF and VEGFR",4
"Neurotoxicity of clostridium toxins",10
"Neurotransmitter clearance",11
"Neurotransmitter receptors and postsynaptic signal transmission",205
"Neurotransmitter release cycle",51
"Neurotransmitter uptake and metabolism In glial cells",4
"Neutrophil degranulation",478
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",13
"NF-kB is activated and signals survival",13
"NFE2L2 regulates pentose phosphate pathway genes",8
"NFE2L2 regulating anti-oxidant/detoxification enzymes",20
"NFE2L2 regulating ER-stress associated genes",5
"NFE2L2 regulating inflammation associated genes",5
"NFE2L2 regulating MDR associated enzymes",8
"NFE2L2 regulating TCA cycle genes",3
"NFE2L2 regulating tumorigenic genes",11
"NFG and proNGF binds to p75NTR",2
"NGF processing",4
"NGF-independant TRKA activation",5
"NGF-stimulated transcription",39
"Nicotinate metabolism",29
"NIK-->noncanonical NF-kB signaling",46
"Nilotinib-resistant KIT mutants",1
"Nitric oxide stimulates guanylate cyclase",22
"NOD1/2 Signaling Pathway",36
"Non-canonical inflammasome activation",14
"Non-integrin membrane-ECM interactions",80
"Noncanonical activation of NOTCH3",8
"Nonhomologous End-Joining (NHEJ)",68
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",116
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",96
"Nonsense-Mediated Decay (NMD)",116
"NoRC negatively regulates rRNA expression",105
"Norepinephrine Neurotransmitter Release Cycle",18
"NOSIP mediated eNOS trafficking",2
"NOSTRIN mediated eNOS trafficking",5
"Notch-HLH transcription pathway",28
"NOTCH1 Intracellular Domain Regulates Transcription",48
"NOTCH2 Activation and Transmission of Signal to the Nucleus",25
"NOTCH2 intracellular domain regulates transcription",12
"NOTCH3 Activation and Transmission of Signal to the Nucleus",25
"NOTCH3 Intracellular Domain Regulates Transcription",25
"NOTCH4 Activation and Transmission of Signal to the Nucleus",11
"NOTCH4 Intracellular Domain Regulates Transcription",20
"NPAS4 regulates expression of target genes",22
"NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ",5
"NR1H2 & NR1H3 regulate gene expression linked to lipogenesis",9
"NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose",5
"NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis",9
"NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ",5
"NR1H2 and NR1H3-mediated signaling",47
"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",37
"NRAGE signals death through JNK",59
"NrCAM interactions",7
"NRIF signals cell death from the nucleus",16
"NS1 Mediated Effects on Host Pathways",41
"NTF3 activates NTRK2 (TRKB) signaling",2
"NTF3 activates NTRK3 signaling",2
"NTF4 activates NTRK2 (TRKB) signaling",2
"NTRK2 activates RAC1",5
"NTRK3 as a dependence receptor",3
"Nuclear Envelope (NE) Reassembly",76
"Nuclear Envelope Breakdown",53
"Nuclear Events (kinase and transcription factor activation)",61
"Nuclear events mediated by NFE2L2",87
"Nuclear events stimulated by ALK signaling in cancer",35
"Nuclear import of Rev protein",34
"Nuclear Pore Complex (NPC) Disassembly",36
"Nuclear Receptor transcription pathway",53
"Nuclear RNA decay",35
"Nuclear signaling by ERBB4",32
"Nucleosome assembly",72
"Nucleotide biosynthesis",14
"Nucleotide catabolism",35
"Nucleotide catabolism defects",1
"Nucleotide Excision Repair",108
"Nucleotide salvage",23
"Nucleotide salvage defects",3
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",56
"Nucleotide-like (purinergic) receptors",16
"NVP-TAE684-resistant ALK mutants",1
"O-glycosylation of TSR domain-containing proteins",39
"O-linked glycosylation",124
"O-linked glycosylation of mucins",62
"O2/CO2 exchange in erythrocytes",13
"OADH complex synthesizes glutaryl-CoA from 2-OA",3
"OAS antiviral response",9
"OGDH complex synthesizes succinyl-CoA from 2-OG",4
"Oleoyl-phe metabolism",1
"Olfactory Signaling Pathway",418
"Oligomerization of connexins into connexons",3
"Oncogene Induced Senescence",35
"Oncogenic MAPK signaling",82
"Opioid Signalling",90
"Opsins",9
"Orc1 removal from chromatin",58
"Orexin and neuropeptides FF and QRFP bind to their respective receptors",8
"Organelle biogenesis and maintenance",297
"Organic anion transport by SLC22 transporters",5
"Organic anion transport by SLC5/17/25 transporters",6
"Organic anion transport by SLCO transporters",11
"Other interleukin signaling",24
"Other semaphorin interactions",19
"Ovarian tumor domain proteases",39
"Oxidative Stress Induced Senescence",125
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",53
"p130Cas linkage to MAPK signaling for integrins",15
"P2Y receptors",12
"p38MAPK events",13
"p53-Dependent G1 DNA Damage Response",53
"p53-Dependent G1/S DNA damage checkpoint",53
"p53-Independent G1/S DNA Damage Checkpoint",51
"p75 NTR receptor-mediated signalling",97
"p75NTR negatively regulates cell cycle via SC1",6
"p75NTR recruits signalling complexes",13
"p75NTR regulates axonogenesis",10
"p75NTR signals via NF-kB",16
"Packaging Of Telomere Ends",51
"PAOs oxidise polyamines to amines",2
"Paracetamol ADME",29
"Paradoxical activation of RAF signaling by kinase inactive BRAF",45
"Parasite infection",116
"Parasitic Infection Pathways",218
"Passive transport by Aquaporins",13
"Pausing and recovery of HIV elongation",33
"Pausing and recovery of Tat-mediated HIV elongation",31
"PCNA-Dependent Long Patch Base Excision Repair",21
"PCP/CE pathway",79
"PD-L1(CD274) glycosylation and translocation to plasma membrane",21
"PDE3B signalling",2
"PDGFR mutants bind TKIs",1
"PDH complex synthesizes acetyl-CoA from PYR",6
"PECAM1 interactions",12
"PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",91
"Pentose phosphate pathway",15
"Pentose phosphate pathway disease",2
"Peptide chain elongation",90
"Peptide hormone biosynthesis",14
"Peptide hormone metabolism",88
"Peptide ligand-binding receptors",199
"PERK regulates gene expression",32
"Peroxisomal lipid metabolism",28
"Peroxisomal protein import",63
"Pervasive developmental disorders",13
"pexidartinib-resistant FLT3 mutants",1
"Pexophagy",11
"Phase 0 - rapid depolarisation",32
"Phase 1 - inactivation of fast Na+ channels",7
"Phase 2 - plateau phase",15
"Phase 3 - rapid repolarisation",9
"Phase 4 - resting membrane potential",19
"Phase I - Functionalization of compounds",104
"Phase II - Conjugation of compounds",105
"Phenylalanine and tyrosine metabolism",11
"Phenylalanine metabolism",6
"Phenylketonuria",1
"Phosphate bond hydrolysis by NTPDase proteins",8
"Phosphate bond hydrolysis by NUDT proteins",7
"phospho-PLA2 pathway",2
"Phospholipase C-mediated cascade; FGFR2",18
"Phospholipase C-mediated cascade; FGFR3",13
"Phospholipase C-mediated cascade; FGFR4",15
"Phospholipase C-mediated cascade: FGFR1",16
"Phospholipid metabolism",212
"Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes",22
"Phosphorylation and nuclear translocation of BMAL1 (ARNTL) and CLOCK",5
"Phosphorylation and nuclear translocation of the CRY:PER:kinase complex",14
"Phosphorylation of CD3 and TCR zeta chains",27
"Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters",11
"Phosphorylation of Emi1",6
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes",4
"Phosphorylation of the APC/C",20
"Physiological factors",14
"PI and PC transport between ER and Golgi membranes",1
"PI Metabolism",84
"PI-3K cascade:FGFR1",21
"PI-3K cascade:FGFR2",23
"PI-3K cascade:FGFR3",18
"PI-3K cascade:FGFR4",20
"PI3K Cascade",44
"PI3K events in ERBB2 signaling",16
"PI3K events in ERBB4 signaling",10
"PI3K/AKT activation",9
"PI3K/AKT Signaling in Cancer",113
"PI5P Regulates TP53 Acetylation",9
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",114
"PINK1-PRKN Mediated Mitophagy",32
"PIP3 activates AKT signaling",263
"PIWI-interacting RNA (piRNA) biogenesis",29
"PKA activation",18
"PKA activation in glucagon signalling",17
"PKA-mediated phosphorylation of CREB",20
"PKA-mediated phosphorylation of key metabolic factors",5
"PKB-mediated events",2
"PKMTs methylate histone lysines",70
"PKR-mediated signaling",76
"Plasma lipoprotein assembly",19
"Plasma lipoprotein assembly, remodeling, and clearance",75
"Plasma lipoprotein clearance",37
"Plasma lipoprotein remodeling",34
"Plasmalogen biosynthesis",3
"Platelet activation, signaling and aggregation",261
"Platelet Adhesion to exposed collagen",16
"Platelet Aggregation (Plug Formation)",39
"Platelet calcium homeostasis",28
"Platelet degranulation ",127
"Platelet homeostasis",86
"Platelet sensitization by LDL",17
"PLC beta mediated events",49
"PLC-gamma1 signalling",3
"PLCG1 events in ERBB2 signaling",4
"Plus-strand DNA synthesis",1
"POLB-Dependent Long Patch Base Excision Repair",8
"Polo-like kinase mediated events",16
"Polymerase switching",14
"Polymerase switching on the C-strand of the telomere",26
"ponatinib-resistant FLT3 mutants",1
"Positive epigenetic regulation of rRNA expression",105
"Positive Regulation of CDH1 Gene Transcription",12
"Post NMDA receptor activation events",81
"Post-chaperonin tubulin folding pathway",23
"Post-transcriptional silencing by small RNAs",7
"Post-translational modification: synthesis of GPI-anchored proteins",93
"Post-translational protein modification",1497
"Post-translational protein phosphorylation",107
"Postmitotic nuclear pore complex (NPC) reformation",27
"Postsynaptic nicotinic acetylcholine receptors",14
"Potassium Channels",103
"Potassium transport channels",3
"Potential therapeutics for SARS",154
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",13
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",10
"PP2A-mediated dephosphorylation of key metabolic factors",7
"PPARA activates gene expression",116
"PRC2 methylates histones and DNA",72
"Pre-NOTCH Expression and Processing",124
"Pre-NOTCH Processing in Golgi",18
"Pre-NOTCH Processing in the Endoplasmic Reticulum",6
"Pre-NOTCH Transcription and Translation",108
"Prednisone ADME",10
"Prefoldin mediated transfer of substrate  to CCT/TriC",28
"Pregnenolone biosynthesis",12
"Presynaptic depolarization and calcium channel opening",11
"Presynaptic function of Kainate receptors",21
"Presynaptic nicotinic acetylcholine receptors",12
"Presynaptic phase of homologous DNA pairing and strand exchange",40
"Prevention of phagosomal-lysosomal fusion",9
"Processing and activation of SUMO",10
"Processing of Capped Intron-Containing Pre-mRNA",283
"Processing of Capped Intronless Pre-mRNA",29
"Processing of DNA double-strand break ends",97
"Processing of Intronless Pre-mRNAs",20
"Processing of SMDT1",16
"Processive synthesis on the C-strand of the telomere",19
"Processive synthesis on the lagging strand",15
"Programmed Cell Death",198
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",3
"Prolactin receptor signaling",15
"Proline catabolism",3
"Prolonged ERK activation events",14
"Propionyl-CoA catabolism",5
"Prostacyclin signalling through prostacyclin receptor",19
"Prostanoid ligand receptors",9
"Proteasome assembly",52
"Protein folding",98
"Protein hydroxylation",20
"Protein lipoylation",10
"Protein localization",164
"Protein methylation",17
"Protein repair",6
"Protein ubiquitination",79
"Protein-protein interactions at synapses",87
"Proton-coupled monocarboxylate transport",6
"Proton-coupled neutral amino acid transporters",2
"Proton/oligopeptide cotransporters",3
"PTEN Loss of Function in Cancer",1
"PTEN Regulation",126
"PTK6 Activates STAT3",4
"PTK6 Down-Regulation",3
"PTK6 Expression",5
"PTK6 promotes HIF1A stabilization",6
"PTK6 Regulates Cell Cycle",6
"PTK6 Regulates Proteins Involved in RNA Processing",5
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",14
"PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1",9
"Purine catabolism",17
"Purine ribonucleoside monophosphate biosynthesis",11
"Purine salvage",13
"Purinergic signaling in leishmaniasis infection",26
"Pyrimidine biosynthesis",3
"Pyrimidine catabolism",12
"Pyrimidine salvage",11
"Pyrophosphate hydrolysis",3
"Pyroptosis",27
"Pyruvate metabolism",49
"quizartinib-resistant FLT3 mutants",1
"RA biosynthesis pathway",22
"RAB GEFs exchange GTP for GDP on RABs",90
"RAB geranylgeranylation",65
"Rab regulation of trafficking",122
"RAC1 GTPase cycle",184
"RAC2 GTPase cycle",88
"RAC3 GTPase cycle",94
"RAF activation",34
"RAF-independent MAPK1/3 activation",23
"RAF/MAP kinase cascade",265
"Rap1 signalling",16
"Ras activation upon Ca2+ influx through NMDA receptor",20
"RAS GTPase cycle mutants",3
"RAS processing",24
"RAS signaling downstream of NF1 loss-of-function variants",7
"Reactions specific to the complex N-glycan synthesis pathway",10
"Reactions specific to the hybrid N-glycan synthesis pathway",1
"Receptor Mediated Mitophagy",11
"Receptor-type tyrosine-protein phosphatases",20
"Recognition and association of DNA glycosylase with site containing an affected purine",55
"Recognition and association of DNA glycosylase with site containing an affected pyrimidine",60
"Recognition of DNA damage by PCNA-containing replication complex",30
"Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",77
"Recruitment of mitotic centrosome proteins and complexes",81
"Recruitment of NuMA to mitotic centrosomes",95
"Recycling of bile acids and salts",18
"Recycling of eIF2:GDP",8
"Recycling pathway of L1",49
"Reduction of cytosolic Ca++ levels",12
"Reelin signalling pathway",5
"Regorafenib-resistant KIT mutants",1
"Regorafenib-resistant PDGFR mutants",1
"Regulated Necrosis",59
"Regulated proteolysis of p75NTR",11
"Regulation by c-FLIP",11
"Regulation by TREX1",1
"Regulation of actin dynamics for phagocytic cup formation",118
"Regulation of activated PAK-2p34 by proteasome mediated degradation",37
"Regulation of APC/C activators between G1/S and early anaphase",68
"Regulation of Apoptosis",40
"Regulation of BACH1 activity",11
"Regulation of beta-cell development",42
"Regulation of CDH1 Expression and Function",206
"Regulation of CDH1 Function",60
"Regulation of CDH1 Gene Transcription",104
"Regulation of CDH1 mRNA translation by microRNAs",15
"Regulation of CDH1 posttranslational processing and trafficking to plasma membrane",32
"Regulation of CDH11 Expression and Function",29
"Regulation of CDH11 function",11
"Regulation of CDH11 gene transcription",10
"Regulation of CDH11 mRNA translation by microRNAs",10
"Regulation of CDH19 Expression and Function",7
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",55
"Regulation of commissural axon pathfinding by SLIT and ROBO",10
"Regulation of Complement cascade",104
"Regulation of cortical dendrite branching",4
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",8
"Regulation of endogenous retroelements",142
"Regulation of endogenous retroelements by KRAB-ZFP proteins",107
"Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)",97
"Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex",70
"Regulation of Expression and Function of Type I Classical Cadherins",206
"Regulation of Expression and Function of Type II Classical Cadherins",32
"Regulation of expression of SLITs and ROBOs",159
"Regulation of FOXO transcriptional activity by acetylation",10
"Regulation of FZD by ubiquitination",21
"Regulation of gap junction activity",3
"Regulation of gene expression by Hypoxia-inducible Factor",11
"Regulation of gene expression in beta cells",21
"Regulation of gene expression in early pancreatic precursor cells",8
"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells",5
"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells",16
"Regulation of Glucokinase by Glucokinase Regulatory Protein",32
"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",12
"Regulation of HMOX1 expression and activity",5
"Regulation of Homotypic Cell-Cell Adhesion",223
"Regulation of HSF1-mediated heat shock response",82
"Regulation of IFNA/IFNB signaling",26
"Regulation of IFNG signaling",14
"Regulation of innate immune responses to cytosolic DNA",15
"Regulation of insulin secretion",78
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",124
"Regulation of KIT signaling",16
"Regulation of lipid metabolism by PPARalpha",118
"Regulation of localization of FOXO transcription factors",12
"Regulation of MECP2 expression and activity",32
"Regulation of MITF-M dependent genes involved in invasion",4
"Regulation of MITF-M dependent genes involved in metabolism",4
"Regulation of MITF-M-dependent genes involved in apoptosis",19
"Regulation of MITF-M-dependent genes involved in cell cycle and proliferation",18
"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",6
"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",12
"Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy",17
