"pathway","geneSize"
"Beta-oxidation of very long chain fatty acids",11
"betaKlotho-mediated ligand binding",3
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",9
"Bicarbonate transporters",10
"Bile acid and bile salt metabolism",44
"Binding and entry of HIV virion",4
"Binding and Uptake of Ligands by Scavenger Receptors",98
"Binding of TCF/LEF:CTNNB1 to target gene promoters",8
"Biofilm formation",23
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",2
"Biological oxidations",215
"Biosynthesis of A2E, implicated in retinal degradation",1
"Biosynthesis of aspirin-triggered D-series resolvins",3
"Biosynthesis of D-series resolvins",4
"Biosynthesis of DHA-derived SPMs",17
"Biosynthesis of DHA-derived sulfido conjugates",2
"Biosynthesis of DPA-derived SPMs",4
"Biosynthesis of DPAn-3 SPMs",4
"Biosynthesis of DPAn-3-derived 13-series resolvins",1
"Biosynthesis of DPAn-3-derived maresins",2
"Biosynthesis of DPAn-3-derived protectins and resolvins",2
"Biosynthesis of DPAn-6 SPMs",2
"Biosynthesis of E-series 18(R)-resolvins",4
"Biosynthesis of E-series 18(S)-resolvins",5
"Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives",2
"Biosynthesis of EPA-derived SPMs",6
"Biosynthesis of Lipoxins (LX)",6
"Biosynthesis of maresin conjugates in tissue regeneration (MCTR)",2
"Biosynthesis of maresin-like SPMs",6
"Biosynthesis of maresins",8
"Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)",1
"Biosynthesis of protectins",4
"Biosynthesis of specialized proresolving mediators (SPMs)",19
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",80
"Biotin transport and metabolism",11
"Blockage of phagosome acidification",1
"Blood group systems biosynthesis",19
"BMAL1:CLOCK,NPAS2 activates circadian expression",26
"Branched-chain amino acid catabolism",21
"Branched-chain ketoacid dehydrogenase kinase deficiency",5
"Breakdown of the nuclear lamina",3
"brigatinib-resistant ALK mutants",1
"Budding and maturation of HIV virion",28
"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",17
"Butyrophilin (BTN) family interactions",12
"C-type lectin receptors (CLRs)",127
"C6 deamination of adenosine",2
"Ca-dependent events",37
"Ca2+ activated K+ channels",9
"Ca2+ pathway",62
"Calcineurin activates NFAT",9
"Calcitonin-like ligand receptors",10
"Calmodulin induced events",35
"Calnexin/calreticulin cycle",26
"CaM pathway",35
"Cam-PDE 1 activation",4
"CaMK IV-mediated phosphorylation of CREB",10
"Cap-dependent Translation Initiation",120
"Carboxyterminal post-translational modifications of tubulin",46
"Cardiac conduction",130
"Cardiogenesis",27
"Cargo concentration in the ER",33
"Cargo recognition for clathrin-mediated endocytosis",105
"Cargo trafficking to the periciliary membrane",71
"Carnitine shuttle",14
"Carnitine synthesis",4
"CASP4 inflammasome assembly",9
"CASP4-mediated substrate cleavage",5
"CASP5 inflammasome assembly",1
"CASP5-mediated substrate cleavage",5
"CASP8 activity is inhibited",11
"Caspase activation via Death Receptors in the presence of ligand",16
"Caspase activation via Dependence Receptors in the absence of ligand",10
"Caspase activation via extrinsic apoptotic signalling pathway",26
"Caspase-mediated cleavage of cytoskeletal proteins",12
"Catecholamine biosynthesis",4
"Cation-coupled Chloride cotransporters",7
"CD163 mediating an anti-inflammatory response",9
"CD209 (DC-SIGN) signaling",21
"CD22 mediated BCR regulation",61
"CD28 dependent PI3K/Akt signaling",27
"CD28 dependent Vav1 pathway",12
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",60
"CDC42 GTPase cycle",155
"CDC6 association with the ORC:origin complex",8
"CDH11 homotypic and heterotypic interactions",7
"CDK-mediated phosphorylation and removal of Cdc6",60
"Cell Cycle",688
"Cell Cycle Checkpoints",290
"Cell Cycle, Mitotic",552
"Cell death signalling via NRAGE, NRIF and NADE",76
"Cell junction organization",305
"Cell recruitment (pro-inflammatory response)",26
"Cell surface interactions at the vascular wall",194
"Cell-Cell communication",341
"Cell-cell junction organization",278
"Cell-extracellular matrix interactions",18
"Cellular hexose transport",21
"Cellular response to chemical stress",198
"Cellular response to heat stress",101
"Cellular response to hypoxia",62
"Cellular response to mitochondrial stress",9
"Cellular response to starvation",157
"Cellular responses to mechanical stimuli",103
"Cellular responses to stimuli",921
"Cellular responses to stress",811
"Cellular Senescence",197
"Centrosome maturation",81
"Ceramide signalling",3
"ceritinib-resistant ALK mutants",1
"cGMP effects",16
"Chaperone Mediated Autophagy",22
"Chaperonin-mediated protein folding",92
"Chemokine receptors bind chemokines",57
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",15
"CHL1 interactions",9
"Cholesterol biosynthesis",27
"Cholesterol biosynthesis via desmosterol",4
"Cholesterol biosynthesis via lathosterol",8
"Choline catabolism",6
"Chondroitin sulfate/dermatan sulfate metabolism",37
"ChREBP activates metabolic gene expression",8
"Chromatin modifications during the maternal to zygotic transition (MZT)",70
"Chromatin modifying enzymes",272
"Chromatin organization",287
"Chromosome Maintenance",139
"Chylomicron assembly",10
"Chylomicron clearance",5
"Chylomicron remodeling",10
"Cilium Assembly",201
"Ciprofloxacin ADME",5
"Circadian clock",112
"Citric acid cycle (TCA cycle)",34
"Class A/1 (Rhodopsin-like receptors)",332
"Class B/2 (Secretin family receptors)",94
"Class C/3 (Metabotropic glutamate/pheromone receptors)",39
"Class I MHC mediated antigen processing & presentation",373
"Class I peroxisomal membrane protein import",20
"Classical antibody-mediated complement activation",63
"Classical Kir channels",4
"Clathrin-mediated endocytosis",145
"Cleavage of the damaged purine",55
"Cleavage of the damaged pyrimidine ",60
"CLEC7A (Dectin-1) induces NFAT activation",11
"CLEC7A (Dectin-1) signaling",87
"CLEC7A/inflammasome pathway",6
"Co-inhibition by BTLA",5
"Co-inhibition by CTLA4",21
"Co-inhibition by PD-1",224
"Co-stimulation by CD28",48
"Co-stimulation by ICOS",11
"Cobalamin (Cbl, vitamin B12) transport and metabolism",22
"Cobalamin (Cbl) metabolism",7
"Coenzyme A biosynthesis",7
"Cohesin Loading onto Chromatin",10
"Collagen biosynthesis and modifying enzymes",67
"Collagen chain trimerization",44
"Collagen degradation",64
"Collagen formation",90
"Common Pathway of Fibrin Clot Formation",22
"Competing endogenous RNAs (ceRNAs) regulate PTEN translation",8
"Complement cascade",115
"Complex I biogenesis",68
"Complex III assembly",26
"Complex IV assembly",48
"Condensation of Prometaphase Chromosomes",11
"Condensation of Prophase Chromosomes",73
"Conjugation of benzoate with glycine",6
"Conjugation of carboxylic acids",9
"Conjugation of phenylacetate with glutamine",2
"Conjugation of salicylate with glycine",8
"Constitutive Signaling by Aberrant PI3K in Cancer",86
"Constitutive Signaling by AKT1 E17K in Cancer",26
"Constitutive Signaling by EGFRvIII",15
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants",19
"Constitutive Signaling by NOTCH1 HD Domain Mutants",15
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",58
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",58
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",7
"Constitutive Signaling by Overexpressed ERBB2",11
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",20
"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",38
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",33
"COPI-dependent Golgi-to-ER retrograde traffic",100
"COPI-independent Golgi-to-ER retrograde traffic",53
"COPI-mediated anterograde transport",102
"COPII-mediated vesicle transport",69
"COX reactions",1
"Creatine metabolism",11
"Creation of C4 and C2 activators",71
"CREB phosphorylation",7
"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",28
"CREB1 phosphorylation through the activation of Adenylate Cyclase",12
"CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde",8
"CREB3 factors activate genes",9
"crenolanib-resistant FLT3 mutants",1
"Cristae formation",33
"crizotinib-resistant ALK mutants",1
"CRMPs in Sema3A signaling",16
"Cross-presentation of particulate exogenous antigens (phagosomes)",8
"Cross-presentation of soluble exogenous antigens (endosomes)",42
"Crosslinking of collagen fibrils",18
"CS-GAG biosynthesis",21
"CS/DS degradation",20
"CTNNB1 S33 mutants aren't phosphorylated",15
"CTNNB1 S37 mutants aren't phosphorylated",15
"CTNNB1 S45 mutants aren't phosphorylated",15
"CTNNB1 T41 mutants aren't phosphorylated",15
"Cyclin A:Cdk2-associated events at S phase entry",75
"Cyclin A/B1/B2 associated events during G2/M transition",32
"Cyclin D associated events in G1",47
"Cyclin E associated events during G1/S transition ",73
"CYP2E1 reactions",11
"Cysteine formation from homocysteine",2
"Cytochrome c-mediated apoptotic response",13
"Cytochrome P450 - arranged by substrate type",64
"Cytokine Signaling in Immune system",785
"Cytoprotection by HMOX1",60
"Cytosolic iron-sulfur cluster assembly",13
"Cytosolic sensors of pathogen-associated DNA ",64
"Cytosolic sulfonation of small molecules",18
"Cytosolic tRNA aminoacylation",24
"DAG and IP3 signaling",41
"DAG1 core M1 glycosylations",4
"DAG1 core M2 glycosylations",5
"DAG1 core M3 glycosylations",6
"DAG1 glycosylations",18
"DAP12 interactions",44
"DAP12 signaling",29
"DARPP-32 events",24
"Dasatinib-resistant KIT mutants",1
"DCC mediated attractive signaling",14
"DDX58/IFIH1-mediated induction of interferon-alpha/beta",82
"Deactivation of the beta-catenin transactivating complex",42
"Deadenylation of mRNA",25
"Deadenylation-dependent mRNA decay",56
"Death Receptor Signaling",154
"Dectin-1 mediated noncanonical NF-kB signaling",49
"Dectin-2 family",26
"Defective ABCA1 causes TGD",2
"Defective ABCA12 causes ARCI4B",1
"Defective ABCA3 causes SMDP3",1
"Defective ABCB11 causes PFIC2 and BRIC2",1
"Defective ABCB4 causes PFIC3, ICP3 and GBD1",1
"Defective ABCB6 causes MCOPCB7",1
"Defective ABCC2 causes DJS",1
"Defective ABCC6 causes PXE",1
"Defective ABCC8 can cause hypo- and hyper-glycemias",2
"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",2
"Defective ABCD1 causes ALD",1
"Defective ABCD4 causes MAHCJ",2
"Defective ABCG5 causes sitosterolemia",2
"Defective ABCG8 causes GBD4 and sitosterolemia",2
"Defective ACTH causes obesity and POMCD",2
"Defective ACY1 causes encephalopathy",1
"Defective ADA disrupts (deoxy)adenosine deamination",1
"Defective AHCY causes HMAHCHD",1
"Defective ALG1 causes CDG-1k",1
"Defective ALG11 causes CDG-1p",1
"Defective ALG12 causes CDG-1g",1
"Defective ALG14 causes ALG14-CMS",2
"Defective ALG2 causes CDG-1i",1
"Defective ALG3 causes CDG-1d",1
"Defective ALG6 causes CDG-1c",1
"Defective ALG8 causes CDG-1h",1
"Defective ALG9 causes CDG-1l",1
"Defective AMN causes MGA1",3
"Defective APRT disrupts adenine salvage",1
"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",3
"Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)",2
"Defective B3GALT6 causes EDSP2 and SEMDJL1",20
"Defective B3GALTL causes PpS",38
"Defective B3GAT3 causes JDSSDHD",20
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)",8
"Defective B4GALT1 causes CDG-2d",1
"Defective B4GALT7 causes EDS, progeroid type",20
"Defective Base Excision Repair Associated with MUTYH",1
"Defective Base Excision Repair Associated with NEIL1",1
"Defective Base Excision Repair Associated with NEIL3",1
"Defective Base Excision Repair Associated with NTHL1",1
"Defective Base Excision Repair Associated with OGG1",1
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",17
"Defective binding of VWF variant to GPIb:IX:V",7
"Defective BTD causes biotidinase deficiency",1
"Defective C1GALT1C1 causes TNPS",17
"Defective CBLIF causes IFD",1
"Defective CD320 causes MMATC",2
"Defective CFTR causes cystic fibrosis",48
"Defective CHST14 causes EDS, musculocontractural type",8
"Defective CHST3 causes SEDCJD",8
"Defective CHST6 causes MCDC1",8
"Defective CHSY1 causes TPBS",8
"Defective cofactor function of FVIIIa variant",3
"Defective CP causes aceruloplasminemia (ACERULOP)",2
"Defective CSF2RA causes SMDP4",8
"Defective CSF2RB causes SMDP5",8
"Defective CUBN causes MGA1",3
"Defective CYP11A1 causes AICSR",4
"Defective CYP11B1 causes AH4",1
"Defective CYP11B2 causes CMO-1 deficiency",1
"Defective CYP17A1 causes AH5",1
"Defective CYP19A1 causes AEXS",1
"Defective CYP1B1 causes Glaucoma",1
"Defective CYP21A2 causes AH3",1
"Defective CYP24A1 causes HCAI",1
"Defective CYP26B1 causes RHFCA",1
"Defective CYP26C1 causes FFDD4",1
"Defective CYP27A1 causes CTX",1
"Defective CYP27B1 causes VDDR1A",1
"Defective CYP27B1 causes VDDR1B",1
"Defective CYP2U1 causes SPG56",1
"Defective CYP4F22 causes ARCI5",1
"Defective CYP7B1 causes SPG5A and CBAS3",1
"Defective DHDDS causes RP59",2
"Defective DNA double strand break response due to BARD1 loss of function",2
"Defective DNA double strand break response due to BRCA1 loss of function",2
"Defective DOLK causes DOLK-CDG",1
"Defective DPAGT1 causes CDG-1j, CMSTA2",1
"Defective DPM1 causes DPM1-CDG",3
"Defective DPM2 causes DPM2-CDG",3
"Defective DPM3 causes DPM3-CDG",3
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",14
"Defective EXT2 causes exostoses 2",14
"Defective F8 accelerates dissociation of the A2 domain",1
"Defective F8 binding to the cell membrane",1
"Defective F8 binding to von Willebrand factor",2
"Defective F8 cleavage by thrombin",3
"Defective F8 secretion",1
"Defective F8 sulfation at Y1699",3
"Defective F9 activation",6
"Defective F9 secretion",1
"Defective F9 variant does not activate FX",3
"Defective factor IX causes hemophilia B",9
"Defective factor IX causes thrombophilia",3
"Defective factor VIII causes hemophilia A",7
"Defective factor XII causes hereditary angioedema",3
"Defective FMO3 causes TMAU",1
"Defective GALE causes EDG",1
"Defective GALK1 causes GALCT2",1
"Defective GALM causes GALAC4",1
"Defective GALNT12 causes CRCS1",16
"Defective GALNT3 causes HFTC",16
"Defective GALT can cause GALCT",1
"Defective gamma-carboxylation of F9",2
"Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)",1
"Defective GCLC causes HAGGSD",2
"Defective GFPT1 causes CMSTA1",1
"Defective GGT1 causes GLUTH",1
"Defective GGT1 in aflatoxin detoxification causes GLUTH",1
"Defective GNE causes sialuria, NK and IBM2",1
"Defective GSS causes GSS deficiency",1
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function",25
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function",25
"Defective HEXA causes GM2G1 (Hyaluronan metabolism)",1
"Defective HEXB causes GM2G2 (Hyaluronan metabolism)",1
"Defective HK1 causes hexokinase deficiency (HK deficiency)",1
"Defective HLCS causes multiple carboxylase deficiency",7
"Defective homologous recombination repair (HRR) due to BRCA1 loss of function",25
"Defective homologous recombination repair (HRR) due to BRCA2 loss of function",41
"Defective homologous recombination repair (HRR) due to PALB2 loss of function",25
"Defective HPRT1 disrupts guanine and hypoxanthine salvage",1
"Defective Inhibition of DNA Recombination at Telomere",2
"Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations",2
"Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations",2
"Defective Intrinsic Pathway for Apoptosis",25
"Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function",2
"Defective LARGE causes MDDGA6 and MDDGB6",2
"Defective LFNG causes SCDO3",5
"Defective MAN1B1 causes MRT15",1
"Defective MAOA causes BRUNS",1
"Defective MAT1A causes MATD",1
"Defective MGAT2 causes CDG-2a",1
"Defective Mismatch Repair Associated With MLH1",2
"Defective Mismatch Repair Associated With MSH2",3
"Defective Mismatch Repair Associated With MSH3",2
"Defective Mismatch Repair Associated With MSH6",2
"Defective Mismatch Repair Associated With PMS2",2
"Defective MMAA causes MMA, cblA type",2
"Defective MMAB causes MMA, cblB type",1
"Defective MMACHC causes MAHCC",1
"Defective MMADHC causes MMAHCD",2
"Defective MOGS causes CDG-2b",1
"Defective MPDU1 causes CDG-1f",1
"Defective MPI causes MPI-CDG",1
"Defective MTR causes HMAG",2
"Defective MTRR causes HMAE",2
"Defective MUT causes MMAM",2
"Defective MUTYH substrate binding",1
"Defective MUTYH substrate processing",1
"Defective NEU1 causes sialidosis",3
"Defective NTHL1 substrate binding",1
"Defective NTHL1 substrate processing",1
"Defective OGG1 Localization",1
"Defective OGG1 Substrate Binding",1
"Defective OGG1 Substrate Processing",1
"Defective OPLAH causes OPLAHD",1
"Defective PAPSS2 causes SEMD-PA",1
"Defective PGM1 causes PGM1-CDG",1
"Defective PMM2 causes PMM2-CDG",1
"Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine",1
"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",2
"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",3
"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",3
"Defective pro-SFTPB causes SMDP1 and RDS",1
"Defective pro-SFTPC causes SMDP2 and RDS",1
"Defective pyroptosis",72
"Defective regulation of TLR7 by endogenous ligand",1
"Defective RFT1 causes CDG-1n",1
"Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)",1
"Defective RIPK1-mediated regulated necrosis",7
"Defective SERPING1 causes hereditary angioedema",3
"Defective SFTPA2 causes IPF",1
"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",1
"Defective SLC12A1 causes Bartter syndrome 1 (BS1)",1
"Defective SLC12A3 causes Gitelman syndrome (GS)",1
"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",1
"Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)",2
"Defective SLC17A5 causes Salla disease (SD) and ISSD",1
"Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)",1
"Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)",1
"Defective SLC1A3 causes episodic ataxia 6 (EA6)",1
