"pathway","gene"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","DUSP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","EIF1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ENG"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","EPAS1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","EZR"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FER"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FGG"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FKBP5"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FOLH1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FUS"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","GABPB2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","HAS1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","HOXC8"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","HSP90AB1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","HSPD1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","IGLJ3"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","IL6ST"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","IQGAP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ITGB6"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ITLN1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MAPKAPK2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MAT2A"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MATR3"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MCL1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MET"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MICALL2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MMP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MVD"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","MYH11"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","NAMPT"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","NEAT1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","NFASC"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","NR4A3"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","OTUD4"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","PGS1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","PRKG1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RAB12"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RASEF"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RCAN1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RHOB"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RNF125"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","RNF144B"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SCAF11"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SEC61A1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SERPINB2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SERPINE1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SOD2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SRPRA"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SRSF5"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","STC1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","STEEP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","SUPT16H"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","TAOK1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","TOP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","TTC3"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","UFM1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","USP10"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","WDR1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","XAGE1A"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ZFP36L2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ZNF649"
"HATADA_METHYLATED_IN_LUNG_CANCER_DN","BAHCC1"
"HATADA_METHYLATED_IN_LUNG_CANCER_DN","BEST2"
"HATADA_METHYLATED_IN_LUNG_CANCER_DN","CACNG7"
