"pathway","gene"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HSPA1A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","INTS7"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","JPX"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KCTD3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KDM6A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KIF15"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KLHL2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KNL1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KNTC1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","KRT19"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","LAMTOR5-AS1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","LINC00342"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","LINC02977"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","LMNB1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","LNPK"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MAP3K21"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MCM3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MCPH1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MECOM"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MEIS1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MIS18A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MSL2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MTF2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","MYO5C"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NASP"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NDUFB4"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NEK2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NEK4"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NR1D2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NR4A2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NSD3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NUF2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NUP210"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","NUP62CL"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","OCLN"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ODF2L"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","OPA1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","OSBPL11"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PARD6B"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PAXBP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PDIK1L"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PER3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PIGA"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PLSCR4"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PMAIP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","POLA1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","POLD3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PPM1A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRDM15"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRELID2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRKX"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRMT6"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRPF39"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PRPS2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PSIP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","PXYLP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RAD51AP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RASEF"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RBBP4"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RBL1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","REL"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","REV1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RFC5"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RIMKLB"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","RMI1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SCML1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SF3B1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SHOC1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SIK1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SKIL"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SLC35A3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SLF1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SLF2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SMC4"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SNRPA1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SPICE1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","SS18L1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","STAG1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","STS"
