"source_genesymbol","target_genesymbol","interact"
"SH3GLB1","PIK3C3",1
"ATM","DCK",0
"CAPN1","BCL2",-1
"CAPN2","BCL2",-1
"CAPN1","BCL2L1",-1
"CAPN2","BID",1
"CAPN1","BID",1
"ATM","CHD4",0
"CASP3","EIF4EBP1",-1
"CASP3","SPTAN1",0
"CASP3","EIF4G1",0
"CASP3","BCAR1",0
"CASP3","EIF4G2",0
"CASP3","EIF4G3",0
"BCL2","CASP3",-1
"CASP3","BCL2",-1
"CASP2","CYCS",1
"CASP2","DIABLO",1
"CASP6","NUMA1",0
"CASP6","VIM",0
"CAPN2","BCL2L1",-1
"CASP2","AIFM1",1
"CASP2","RIPK1",1
"RIPK1","CASP10",1
"CASP10","RIPK1",-1
"CASP10","BID",1
"ATR","TOPBP1",1
"TOPBP1","ATR",1
"E2F2","CDK1",1
"MIR17HG","VIM",-1
"MIR17HG","MEF2D",-1
"SGK1","KCNQ4",1
"POU4F3","BDNF",1
"ATOH1","POU4F3",1
"POU4F3","GFI1",1
"MYO15A","WHRN",1
"SOX2","ATOH1",1
"ATOH1","BARHL1",1
"ADGRV1","ADCY6",-1
"ID3","ATOH1",-1
"ID2","ATOH1",-1
"NOTCH1","PAX8",1
"ID1","ATOH1",-1
"KCNE1","KCNQ4",1
"NOTCH1","FOXI2",-1
"WNT1","FOXI2",-1
"E2F1","BRCA1",1
"TIRAP","MYD88",1
"SIX1","PAX2",1
"SIX1","EYA1",-1
"FOXI1","SIX1",1
"OTUB2","TRAF6",-1
"PDPK1","PRKCG",1
"PDK1","PRKCG",1
"OTUD5","TRAF3",-1
"OTUB1","TRAF3",-1
"JAG1","CDKN1B",1
"CDK5","RALB",1
"E2F1","EZH2",1
"RASSF1","MST1",1
"RASSF1","CCND1",-1
"E2F3","CDK1",1
"E2F2","CCNB1",1
"WNT1","JAG1",1
"WNT1","NOTCH1",1
"NOTCH1","WNT1",1
"NOTCH1","ATOH1",-1
"WNT1","DLX5",1
"POU4F3","NTF3",1
"NOTCH1","HES5",1
"NOTCH1","SOX2",1
"NOTCH1","BMP4",1
"RALA","RALBP1",1
"MYC","NME1",1
"RALB","RALBP1",1
"RALGDS","RALA",1
"RALBP1","CDC42",0
"RALBP1","RAC1",0
"WNT1","GBX2",1
"WNT1","PAX2",1
"WNT1","PAX8",1
"WNT1","HES1",1
"NOTCH1","JAG1",1
"JAG1","NOTCH1",0
"NOTCH1","HES1",1
"WNT1","SOX9",1
"KIT","GRB2",1
"SIX1","BMP4",1
"SIX1","FGF10",1
"SIX1","FGF3",1
"EYA1","FGF3",1
"KCNQ4","SLC26A5",1
"PRKACG","KCNQ4",1
"SIX1","GATA3",1
"IKBKE","IRF7",1
"ERBB2","GRB2",1
"E2F7","E2F8",1
"E2F1","PCNA",1
"AKT2","CDKN1A",0
